Epoch,Train Loss,Val Loss,Val Accuracy (%),Epoch Time (s)
1,0.0023,0,100,53.9
2,0.006,0,100,51.13
3,0.009,0,100,50.9
4,0.001,0,100,50.23
5,0.0019,0,100,50.71
6,0.005,0,100,50.41
7,0.006,0,100,50.98
8,0.005,0,100,47.95
9,0.006,0,100,44.94
10,0.0011,0,100,44.72
11,0.0018,0.0001,100,44.64
12,0.008,0,100,44.98
13,0.005,0,100,44.41
14,0.0074,0.0001,100,44.16
15,0.0013,0,100,44.6
16,0.0017,0,100,45.2
17,0.005,0,100,44.56
18,0.005,0,100,43.75
19,0.007,0,100,44.41
20,0.006,0,100,44.17
21,0.003,0,100,44.05
22,0.004,0,100,44.46
23,0.004,0,100,45.24
24,0.004,0,100,51.35
25,0.004,0,100,50.92
